num_items,max_cap,num_players,trial,slack_found,boosted,equilibrium,rounds,delta_final,time_sec,avg_demand_change,avg_max_price,avg_price_std,allocated_players,allocation_rate
96,4,144,7,2,False,True,4,0.5,5.289358200039715,0.22804659498207883,1.3076218069743533,0.30061188008086,144,1.0
96,4,144,8,2,False,True,4,0.5,6.21199159999378,0.21558795147504825,1.6531982327305887,0.3705342550809186,144,1.0
96,4,144,9,1,False,True,5,0.5,2.5063525000587106,0.2609953703703704,1.5475947621738182,0.2672372893627415,144,1.0
96,6,240,0,2,True,True,73,0.25,10.695706200087443,0.2279749293785311,1.06697543802184,0.27372419458683805,240,1.0
96,6,240,1,2,False,True,6,0.5,9.561522499890998,0.23387860082304526,2.005877771905388,0.3777628864836242,240,1.0
96,6,240,2,2,True,True,73,0.25,10.971151900012046,0.1877648305084746,1.4536794840500546,0.3701144001858504,240,1.0
96,6,240,3,2,False,True,3,0.5,9.617119600065053,0.20884121061359867,1.0779862123272919,0.29428572023371835,240,1.0
96,6,240,4,1,True,True,71,0.25,6.744172400096431,0.26069444444444445,1.67569024752172,0.37108093462663755,240,1.0
96,6,240,5,2,False,True,4,0.5,10.015700499992818,0.2793734491315137,1.0559916984911875,0.24851228253945531,240,1.0
96,6,240,6,2,True,True,72,0.25,11.106495199957862,0.22056794055201698,1.8501964639134003,0.39850444415692804,240,1.0
96,6,240,7,2,False,True,9,0.5,10.101657500024885,0.26611519607843137,2.160526755025357,0.4036773114322226,240,1.0
96,6,240,8,2,True,True,70,0.25,10.984457900049165,0.22348969438521676,1.3554236128196482,0.3216333436549958,240,1.0
96,6,240,9,2,True,True,71,0.25,11.512808399973437,0.18359929078014187,1.7736927713329025,0.3714451596745558,240,1.0
96,8,336,0,2,True,True,70,0.25,15.802495500072837,0.23225073611534167,1.1879038765279923,0.31357044247217114,336,1.0
96,8,336,1,2,True,True,71,0.25,14.213311000028625,0.25936550151975685,1.615476875375199,0.3261915234993154,336,1.0
96,8,336,2,2,True,True,81,0.25,11.602237300015986,0.309406001984127,1.7991741992372663,0.41500273315154873,336,1.0
96,8,336,3,2,True,True,76,0.25,11.089831199962646,0.2534586466165413,2.3652946178485132,0.5873449493272869,336,1.0
96,8,336,4,3,False,True,9,0.5,14.07409769995138,0.19522438909774437,2.1139670362612324,0.559020717066363,336,1.0
96,8,336,5,2,True,True,75,0.25,11.401301099918783,0.22646046815350615,1.4918340233893497,0.3065232823551516,336,1.0
96,8,336,6,3,False,True,5,0.5,14.155454399995506,0.19917317092399875,2.3201966430341296,0.6100623917372257,336,1.0
96,8,336,7,2,True,True,71,0.25,11.143312999978662,0.19481382978723405,1.506400966542112,0.3106882359447004,336,1.0
96,8,336,8,3,True,True,71,0.25,16.133107699919492,0.1962997512437811,1.3011098428788164,0.31202675006299657,336,1.0
96,8,336,9,2,True,True,71,0.25,11.619422700023279,0.25329280648429586,1.4560570449708432,0.28930980445555377,336,1.0
