grid,players,C,trial,slack_found,boosted,equilibrium,rounds,delta_final,time_sec,avg_demand_change,avg_max_price,avg_price_std
7,5,2,2,0,False,True,9,0.5,0.2335070000262931,0.25,2.25,0.5141548398300475
7,5,2,3,0,False,True,18,0.5,0.6996867000125349,0.25882352941176473,3.8529411764705883,1.0088140579199798
7,5,2,4,1,False,True,18,0.5,10.901202800043393,0.5059907834101383,4.822433779118541,1.3441861907964205
7,5,3,0,0,True,True,80,0.25,5.411931100010406,0.579746835443038,4.829646979381586,1.4515548016696933
7,5,3,1,0,False,True,22,0.5,0.977199400018435,0.2666666666666667,4.595238095238095,1.2112938107970517
7,5,3,2,0,True,True,78,0.25,4.626532800029963,0.6103896103896104,5.805615972700254,1.2782000880123712
7,5,3,3,0,False,True,22,0.5,0.7765995999798179,0.2,5.309523809523809,1.4723821006357771
7,5,3,4,0,True,True,90,0.25,3.769391900044866,0.3168539325842697,10.269993811309254,2.200413338973357
7,5,4,0,0,True,True,94,0.25,6.976178999990225,0.6322580645161291,4.642768883084312,1.441493095920865
7,5,4,1,1,False,True,17,0.5,12.77898030000506,0.4138888888888889,6.419549251953257,1.7812421909368212
7,5,4,2,0,False,True,26,0.5,1.0628614999586716,0.2,5.78,1.377849340367
7,5,4,3,0,False,True,26,0.5,1.3090603000018746,0.456,5.86,1.3180960980268361
7,5,4,4,0,False,True,19,0.5,0.8606816999963485,0.41111111111111115,4.111111111111111,1.1595346764741228
7,8,2,0,0,False,True,16,0.5,0.8110845000483096,0.275,4.0,1.2558437749064448
7,8,2,1,1,False,True,11,0.5,18.169936799968127,0.6517857142857143,5.512602714004473,1.5095926060742684
7,8,2,2,1,False,True,14,0.5,20.008502099954057,0.32981220657276994,7.808684601321164,2.2170155376455427
7,8,2,3,0,False,True,33,0.5,1.9918496000464074,0.27734375,6.484375,1.8312156386433733
7,8,2,4,1,False,True,14,0.5,16.61430630000541,0.5011737089201878,3.2248339789349854,0.9779365983996975
7,8,3,0,0,False,True,28,0.5,1.851098400016781,0.2824074074074074,5.944444444444445,1.8514309783922442
7,8,3,1,0,True,True,85,0.25,9.413755999994464,0.6101190476190477,5.233250422037705,1.4078646781739563
7,8,3,2,0,False,True,27,0.5,2.1158617000328377,0.5769230769230769,5.346153846153846,1.8129337256448481
7,8,3,3,1,False,True,15,0.5,22.42945419996977,0.4889018691588785,7.2807120101655425,2.0760695779602556
7,8,3,4,0,False,True,17,0.5,1.249094100028742,0.5625,3.4375,1.155525649929651
7,8,4,0,1,False,True,18,0.5,26.540477700007614,0.5904377880184332,6.752284379149461,2.1921001561595865
7,8,4,1,1,False,True,11,0.5,22.814116100023966,0.6017857142857143,5.284358830768322,1.6336227086248132
7,8,4,2,0,True,True,78,0.25,7.34349190001376,0.3587662337662338,6.010032698266654,1.8140603463432041
7,8,4,3,0,True,True,89,0.25,7.6911339000216685,0.4375,8.973512003945016,2.181280755652964
7,8,4,4,0,False,True,50,0.5,5.014685400004964,0.576530612244898,4.489795918367347,1.4372434443690776
7,12,2,0,1,False,True,10,0.5,20.611726299976,0.24282296650717702,10.398858023639681,2.3812525385669114
7,12,2,1,1,False,True,17,0.5,25.867654900008347,0.396604938271605,7.67687505858621,2.3154360179360762
7,12,2,2,1,False,True,15,0.5,24.001345199998468,0.3450155763239875,7.893268661006118,2.5209177271756267
7,12,2,3,1,False,True,14,0.5,28.34806910000043,0.3536776212832551,7.91406012828348,2.231643415632083
7,12,2,4,1,False,True,19,0.5,24.967915799992625,0.38876146788990823,7.036184520319091,2.091010422750484
7,12,3,0,0,False,True,29,0.5,3.300205699983053,0.5148809523809523,5.464285714285714,1.7759168687855182
7,12,3,1,1,False,True,12,0.5,29.20382990001235,0.4075829383886256,6.390315547146739,1.9203192928722281
7,12,3,2,1,False,True,19,0.5,26.3127506999881,0.48814984709480125,6.910709504306883,2.1288454170377884
7,12,3,3,0,True,True,200,0.25,29.810348999977577,0.592964824120603,6.825713188108551,1.967821344914619
7,12,3,4,0,True,True,92,0.25,11.8698233999894,0.37637362637362637,7.557848182103201,2.298175259523226
7,12,4,0,1,False,True,8,0.5,25.449188600003254,0.44041867954911434,8.307879403291846,2.3569940371876203
7,12,4,1,1,False,True,23,0.5,28.43663509999169,0.5082582582582583,8.000293817029684,2.701537437136791
7,12,4,2,1,False,True,11,0.5,29.007918699993752,0.49722222222222223,6.102111097908846,1.970247013922255
7,12,4,3,1,False,True,17,0.5,34.31496349995723,0.41820987654320985,7.4768427136687095,2.1609574533680926
7,12,4,4,1,False,True,15,0.5,29.767936899967026,0.5299844236760125,6.436934488320783,1.8493628391760046
